601398,工商银行,金融业,"5,837,600.00",0.00,"5,837,600.00",资金业务,2022-06-30
001979,招商蛇口,未分组,"5,756,249.25","4,686,165.70","1,070,083.55",社区开发与运营 邮轮产业建设与运营 园区开发与运营,2022-06-30
601117,中国化学,化工行业,"5,735,720.00","5,235,880.00","499,840.00",化学工程,2022-06-30
000625,长安汽车,汽车及零件制造业,"5,657,360.00","4,536,010.00","1,121,350.00",汽车,2022-06-30
600297,广汇汽车,商贸业,"5,605,500.00","5,370,830.00","234,670.00",整车销售,2022-06-30
601991,大唐发电,未分组,"5,559,788.80",0.00,"5,559,788.80",发电板块 煤炭板块 其他板块,2022-06-30
000034,神州数码,IT业,"5,449,550.00","5,267,070.00","182,480.00",IT分销,2022-06-30
600808,马钢股份,商贸业,"5,226,237.42",0.00,"5,226,237.42",钢材类销售 钢坯生铁销售 焦化副产品销售,2022-06-30
000100,TCL科技,未分组,"5,199,040.00","4,994,010.00","205,030.00",半导体显示业务 分销业务,2022-06-30
000708,中信特钢,钢铁行业,"5,182,180.00","4,345,910.00","836,270.00",特钢行业,2022-06-30
000703,恒逸石化,化工行业,"5,168,200.00","4,729,770.00","438,430.00",化纤行业 石化行业,2022-06-30
601899,紫金矿业,商贸业,"5,126,800.00",0.00,"5,126,800.00",加工、冶炼及贸易金,2022-06-30
601012,隆基绿能,光伏行业,"5,040,646.00",0.00,"5,040,646.00",光伏产品 光伏电站,2022-06-30
000825,太钢不锈,冶金业,"5,035,150.00","4,556,550.00","478,600.00",冶金钢铁行业,2022-06-30
600585,海螺水泥,建材行业,"4,705,254.20","3,147,027.40","1,558,226.80",建材行业(贸易业务) 建材行业(自产品销售),2022-06-30
000701,厦门信达,商贸业,"4,663,450.00","4,581,440.00","82,010.00",商业,2022-06-30
002761,浙江建投,未分组,"4,643,434.00","3,869,060.00","774,374.00",工程相关其他业务 工业制造业务 建筑施工业务,2022-06-30
601818,光大银行,金融业,"4,575,500.00","2,113,000.00","2,462,500.00",公司金融业务 金融市场业务,2022-06-30
601933,永辉超市,商贸业,"4,533,620.00","3,862,500.00","671,120.00",零售业,2022-06-30
601186,中国铁建,物流、运输业,"4,451,940.00","4,103,200.00","348,740.00",物流与物资贸易及其他业务,2022-06-30
600887,伊利股份,未分组,"4,364,041.20",0.00,"4,364,041.20",其他（补充） 液体乳,2022-06-30
002241,歌尔股份,电子行业,"4,282,930.00","3,727,050.00","555,880.00",电子元器件,2022-06-30
002714,牧原股份,养殖业,"4,262,250.00","4,681,070.00","-418,820.00",养殖分部,2022-06-30
601998,中信银行,商贸业,"4,201,500.00",0.00,"4,201,500.00",零售银行业务,2022-06-30
600704,物产中大,化工行业,"4,141,200.00","4,079,500.00","61,700.00",其中:化工,2022-06-30
002311,海大集团,饲料行业,"4,133,190.00","3,759,880.00","373,310.00",饲料行业,2022-06-30
000858,五粮液,未细分制造业,"4,122,240.00",0.00,"4,122,240.00",制造业,2022-06-30
002594,比亚迪,电子行业,"4,106,960.00","3,857,390.00","249,570.00",日用电子器件制造业,2022-06-30
600029,南方航空,未分组,"4,081,700.00","5,092,700.00","-1,011,000.00",航空营运业务分部 其他业务分部,2022-06-30
600050,中国联通,IT业,"4,037,100.00",0.00,"4,037,100.00",数据及其他互联网应用,2022-06-30
601598,中国外运,未分组,"4,028,179.00","3,804,985.00","223,194.00",代理及相关 电商,2022-06-30
600339,中油工程,未分组,"4,020,770.00",0.00,"4,020,770.00",工程建设,2022-06-30
600031,三一重工,工程机械行业,"3,877,700.00","3,006,050.00","871,650.00",工程机械行业,2022-06-30
601992,金隅集团,建材行业,"3,862,870.00",0.00,"3,862,870.00",绿色建材,2022-06-30
601006,大秦铁路,物流、运输业,"3,829,090.00","2,863,410.00","965,680.00",铁路运输行业,2022-06-30
000626,远大控股,商贸业,"3,827,390.00","3,803,040.00","24,350.00",商品贸易,2022-06-30
000425,徐工机械,工程机械行业,"3,820,390.00","3,199,690.00","620,700.00",工程机械行业,2022-06-30
300226,上海钢联,钢铁行业,"3,798,280.00","3,756,890.00","41,390.00",钢材交易业务,2022-06-30
002203,海亮股份,未分组,"3,786,456.80","3,626,435.30","160,021.50",其他（补充） 铜棒 铜管 铜排,2022-06-30
601155,新城控股,商贸业,"3,773,570.00","3,165,190.00","608,380.00",房地产开发销售,2022-06-30
600016,民生银行,未分组,"3,736,900.00",0.00,"3,736,900.00",对公业务,2022-06-30
002415,海康威视,未分组,"3,725,750.00","2,118,300.00","1,607,450.00",智能物联产品及服务,2022-06-30
601088,中国神华,电力行业,"3,716,000.00","3,188,900.00","527,100.00",发电,2022-06-30
600058,五矿发展,商贸业,"3,711,100.00",0.00,"3,711,100.00",贸易,2022-06-30
600166,福田汽车,未分组,"3,698,140.55","2,634,830.00","1,063,310.55",管理及研发分部 海外分部 其他分部 轻型车分部,2022-06-30
601727,上海电气,商贸业,"3,641,620.00",0.00,"3,641,620.00",销售商品,2022-06-30
000876,新希望,饲料行业,"3,603,720.00","3,414,060.00","189,660.00",饲料,2022-06-30
000028,国药一致,医药业,"3,590,550.00","3,179,223.00","411,327.00",医药零售 医药批发,2022-06-30
000060,中金岭南,商贸业,"3,527,273.00",0.00,"3,527,273.00",铅锌铜采掘、冶炼及销售 有色金属贸易业务,2022-06-30
000761,本钢板材,未细分工业,"3,501,520.00","3,337,750.00","163,770.00",工业,2022-06-30
000921,海信家电,家电行业,"3,497,590.00","2,782,000.00","715,590.00",家电制造业,2022-06-30
600282,南钢股份,商贸业,"3,488,719.00",0.00,"3,488,719.00",钢材销售 其他销售,2022-06-30
000977,浪潮信息,电子行业,"3,485,020.00",0.00,"3,485,020.00",电子行业,2022-06-30
600688,上海石化,石油行业,"3,447,346.00","2,760,336.00","687,010.00",石油产品 石油化工产品贸易,2022-06-30
000938,紫光股份,未分组,"3,440,220.00","2,694,660.00","745,560.00",信息技术业,2022-06-30
601288,农业银行,其他,"3,428,400.00",0.00,"3,428,400.00",其他业务,2022-06-30
600016,民生银行,商贸业,"3,346,100.00",0.00,"3,346,100.00",零售业务,2022-06-30
688599,天合光能,光伏行业,"3,320,880.50","2,910,021.30","410,859.20",光伏产品 光伏电站工程建设管理,2022-06-30
601238,广汽集团,未分组,"3,315,200.00",0.00,"3,315,200.00",整车製造业,2022-06-30
601818,光大银行,商贸业,"3,300,200.00","2,805,400.00","494,800.00",零售金融业务,2022-06-30
002024,ST易购,未分组,"3,286,120.00","2,885,880.00","400,240.00",商品收入,2022-06-30
000950,重药控股,医药业,"3,260,600.00","2,985,477.60","275,122.40",医药零售 医药批发,2022-06-30
600839,四川长虹,家电行业,"3,253,310.00","2,947,190.00","306,120.00",家电,2022-06-30
000829,天音控股,电信行业,"3,247,960.00","3,148,370.00","99,590.00",通信,2022-06-30
002416,爱施德,未分组,"3,222,783.46","3,125,572.15","97,211.31",其他（补充） 数字化分销业务,2022-06-30
000100,TCL科技,光伏行业,"3,169,830.00","2,608,970.00","560,860.00",新能源光伏,2022-06-30
000727,冠捷科技,未分组,"3,151,127.30","2,849,618.13","301,509.17",其他（补充） 新型显示制造,2022-06-30
601985,中国核电,电力行业,"3,102,030.00",0.00,"3,102,030.00",核电,2022-06-30
601390,中国中铁,其他,"3,079,595.00","2,661,319.00","418,276.00",其他 其他(补充),2022-06-30
000960,锡业股份,有色金属行业,"3,071,560.00","2,679,240.00","392,320.00",有色金属,2022-06-30
603071,物产环能,商贸业,"3,035,380.00","2,938,950.00","96,430.00",贸易板块,2022-06-30
300498,温氏股份,养殖业,"3,034,850.00","3,106,340.00","-71,490.00",养殖行业,2022-06-30
600502,安徽建工,未分组,"3,012,850.00","2,718,770.00","294,080.00",建筑施工业,2022-06-30
601233,桐昆股份,化工行业,"2,985,175.63",0.00,"2,985,175.63",化纤-分部 石化-分部,2022-06-30
002129,TCL中环,其他能源行业,"2,954,590.00","2,450,110.00","504,480.00",新能源行业,2022-06-30
000927,中国铁物,未分组,"2,869,212.00","2,738,058.00","131,154.00",大宗物资供应链集成服务 工程建设物资生产制造及集成服务 轨道交通物资供应链管理及轨道运维技术服务,2022-06-30
002459,晶澳科技,其他能源行业,"2,846,860.00","2,470,770.00","376,090.00",新能源行业,2022-06-30
000656,金科股份,商贸业,"2,818,380.00","2,694,940.00","123,440.00",房地产销售及运营,2022-06-30
000703,恒逸石化,未分组,"2,812,270.00","2,794,250.00","18,020.00",供应链服务,2022-06-30
601888,中国中免,商贸业,"2,784,528.60",0.00,"2,784,528.60",商品销售业务 商业综合体投资开发业务,2022-06-30
003816,中国广核,电力行业,"2,780,350.00","1,328,060.00","1,452,290.00",电力,2022-06-30
000983,山西焦煤,未细分工业,"2,771,270.00","1,615,530.00","1,155,740.00",工业,2022-06-30
600939,重庆建工,未分组,"2,765,290.00","2,640,590.00","124,700.00",提供施工劳务,2022-06-30
000627,天茂集团,保险行业,"2,760,020.00",0.00,"2,760,020.00",保险业,2022-06-30
601229,上海银行,商贸业,"2,743,585.00","1,421,111.00","1,322,474.00",零售金融业务 批发金融业务,2022-06-30
000778,新兴铸管,未分组,"2,696,100.00","2,474,000.00","222,100.00",金属制品业,2022-06-30
601288,农业银行,金融业,"2,695,000.00",0.00,"2,695,000.00",资金运营业务,2022-06-30
601939,建设银行,金融业,"2,672,700.00",0.00,"2,672,700.00",资金业务,2022-06-30
000498,山东路桥,土木工程行业,"2,649,530.00","2,368,080.00","281,450.00",建筑施工,2022-06-30
600704,物产中大,煤炭行业,"2,644,700.00","2,557,100.00","87,600.00",其中:煤炭,2022-06-30
600153,建发股份,房地产行业,"2,616,960.00","2,205,640.00","411,320.00",房地产业务,2022-06-30
600233,圆通速递,未分组,"2,504,564.10","2,207,565.70","296,998.40",航空业务 货代行业 快递行业 其他（补充）,2022-06-30
600489,中金黄金,冶金业,"2,495,990.00","2,437,480.00","58,510.00",冶炼企业,2022-06-30
600332,白云山,商贸业,"2,435,540.00","2,265,700.00","169,840.00",大商业,2022-06-30
002110,三钢闽光,冶金业,"2,414,030.00","2,219,120.00","194,910.00",冶金制造业,2022-06-30
601899,紫金矿业,未分组,"2,405,817.00",0.00,"2,405,817.00",其他精矿 铜精矿 锌锭,2022-06-30
600325,华发股份,商贸业,"2,393,400.00","1,888,080.00","505,320.00",房地产开发销售,2022-06-30
603225,新凤鸣,化工行业,"2,371,423.00",0.00,"2,371,423.00",化纤 石化,2022-06-30
600713,南京医药,商贸业,"2,363,181.80",0.00,"2,363,181.80",零售 批发,2022-06-30
601988,中国银行,保险行业,"2,360,800.00",0.00,"2,360,800.00",投资银行及保险业务,2022-06-30
601212,白银有色,商贸业,"2,359,280.00",0.00,"2,359,280.00",有色金属贸易,2022-06-30
601390,中国中铁,房地产行业,"2,344,730.00","2,008,180.00","336,550.00",房地产开发,2022-06-30
600050,中国联通,未分组,"2,341,870.00",0.00,"2,341,870.00",语音通话及月租费 增值服务,2022-06-30
600383,金地集团,房地产行业,"2,325,070.00","1,832,710.00","492,360.00",房地产开发,2022-06-30
002432,九安医疗,工程机械行业,"2,315,110.00","430,179.00","1,884,931.00",专用设备制造业收入,2022-06-30
000800,一汽解放,汽车及零件制造业,"2,287,150.00","2,022,030.00","265,120.00",汽车制造业,2022-06-30
600699,均胜电子,汽车及零件制造业,"2,281,100.00","2,031,000.00","250,100.00",汽车零部件,2022-06-30
002120,韵达股份,未分组,"2,278,974.00","1,988,820.00","290,154.00",快递服务收入 其他收入,2022-06-30
601111,中国国航,未分组,"2,270,260.00",0.00,"2,270,260.00",航空营运,2022-06-30
688981,中芯国际,电子行业,"2,268,500.00",0.00,"2,268,500.00",集成电路晶圆代工,2022-06-30
600180,瑞茂通,未分组,"2,266,092.81",0.00,"2,266,092.81",供应链管理 供应链金融,2022-06-30
000539,粤电力A,商贸业,"2,242,300.00",0.00,"2,242,300.00",电力、蒸气销售及劳务收入,2022-06-30
600188,兖矿能源,商贸业,"2,226,590.00",0.00,"2,226,590.00",非煤炭贸易,2022-06-30
601658,邮储银行,金融业,"2,202,800.00",0.00,"2,202,800.00",资金运营业务,2022-06-30
601899,紫金矿业,冶金业,"2,201,620.00",0.00,"2,201,620.00",冶炼铜,2022-06-30
600704,物产中大,未分组,"2,173,200.00","2,037,800.00","135,400.00",其中:线缆制造 其中:整车及后服务,2022-06-30
300207,欣旺达,未分组,"2,171,780.00","1,873,040.00","298,740.00",工业制造业,2022-06-30
000032,深桑达A,未分组,"2,163,045.10","1,938,270.80","224,774.30",产业服务 数字与信息服务,2022-06-30
601186,中国铁建,房地产行业,"2,138,290.00","1,792,280.00","346,010.00",房地产开发业务,2022-06-30
601088,中国神华,未分组,"2,128,100.00","1,128,900.00","999,200.00",铁路 未分配项目,2022-06-30
002171,楚江新材,未分组,"2,057,087.20","1,948,013.70","109,073.50",高端装备、碳纤维复合材料研发及制造 金属材料研发及制造,2022-06-30
000059,华锦股份,化工行业,"2,040,230.00","1,604,560.00","435,670.00",石化板块,2022-06-30
600511,国药股份,商贸业,"2,037,370.00",0.00,"2,037,370.00",商业分部,2022-06-30
000157,中联重科,工程机械行业,"1,996,520.00","1,584,110.00","412,410.00",工程机械,2022-06-30
601186,中国铁建,未分组,"1,991,110.00","1,387,686.00","603,424.00",工业制造业务 勘察设计咨询业务,2022-06-30
000301,东方盛虹,化工行业,"1,984,340.00","1,737,600.00","246,740.00",石化及化工新材料,2022-06-30
600150,中国船舶,船舶业,"1,977,220.00","1,823,640.00","153,580.00",船舶造修及海洋工程,2022-06-30
002061,浙江交科,未分组,"1,976,080.00","1,835,410.00","140,670.00",建筑施工行业,2022-06-30
000961,中南建设,房地产行业,"1,955,930.00","1,759,700.00","196,230.00",房地产开发,2022-06-30
600820,隧道股份,未分组,"1,938,646.00","1,692,515.90","246,130.10",设计服务 施工业 投资业务 运营业务,2022-06-30
601668,中国建筑,其他,"1,907,390.00","1,433,410.00","473,980.00",其他,2022-06-30
600600,青岛啤酒,酒业,"1,906,800.00","1,180,790.00","726,010.00",销售啤酒,2022-06-30
000768,中航西飞,未分组,"1,893,480.00","1,759,510.00","133,970.00",航空工业,2022-06-30
000651,格力电器,未分组,"1,887,700.00","1,794,000.00","93,700.00",其他（补充）,2022-06-30
000553,安道麦A,化工行业,"1,879,580.00",0.00,"1,879,580.00",化工原料及产品制造业,2022-06-30
600655,豫园股份,未分组,"1,862,480.00",0.00,"1,862,480.00",产业运营,2022-06-30
002304,洋河股份,酒业,"1,851,740.00","463,394.00","1,388,346.00",酒类,2022-06-30
688009,中国通号,未分组,"1,834,691.00",0.00,"1,834,691.00",工程总承包 轨道交通控制系统,2022-06-30
600115,中国东航,未分组,"1,827,100.00","3,331,300.00","-1,504,200.00",航空运输业务,2022-06-30
600096,云天化,物流、运输业,"1,815,770.00","1,784,280.00","31,490.00",商贸物流,2022-06-30
601669,中国电建,其他,"1,804,560.00","1,385,940.00","418,620.00",其他,2022-06-30
002091,江苏国泰,商贸业,"1,797,400.00","1,583,240.00","214,160.00",贸易,2022-06-30
601005,重庆钢铁,钢铁行业,"1,782,090.00","1,660,550.00","121,540.00",钢铁行业,2022-06-30
600547,山东黄金,未分组,"1,756,206.70","1,736,250.62","19,956.08",其他（补充） 铅金属 铁精粉 铜金属 外购金 外购银 小金条 锌金属 银金属,2022-06-30
600606,绿地控股,其他,"1,740,600.00","1,326,820.00","413,780.00",其他,2022-06-30
600569,安阳钢铁,钢铁行业,"1,737,050.00",0.00,"1,737,050.00",钢材,2022-06-30
603993,洛阳钼业,采掘业,"1,729,400.00","834,923.00","894,477.00",矿山采掘及加工,2022-06-30
000039,中集集团,物流、运输业,"1,727,870.00","1,625,500.00","102,370.00",物流服务,2022-06-30
600348,华阳股份,煤炭行业,"1,722,390.00","1,006,420.00","715,970.00",煤炭,2022-06-30
002532,天山铝业,未分组,"1,711,700.00",0.00,"1,711,700.00",铝行业,2022-06-30
600141,兴发集团,化工行业,"1,703,900.00",0.00,"1,703,900.00",化工,2022-06-30
000401,冀东水泥,建材行业,"1,684,540.00","1,285,890.00","398,650.00",建材行业,2022-06-30
600875,东方电气,其他能源行业,"1,668,279.00","1,386,849.00","281,430.00",可再生能源装备 清洁高效能源装备,2022-06-30
001289,龙源电力,电力行业,"1,667,070.00","901,842.00","765,228.00",电力行业,2022-06-30
600871,石化油服,采掘业,"1,663,580.00","1,545,590.00","117,990.00",钻井,2022-06-30
000830,鲁西化工,化工行业,"1,655,471.00","1,199,848.00","455,623.00",化肥行业 化工新材料行业 基础化工行业,2022-06-30
600426,华鲁恒升,化工行业,"1,653,380.00",0.00,"1,653,380.00",化工产品,2022-06-30
601992,金隅集团,未分组,"1,640,440.00",0.00,"1,640,440.00",地产开发及运营,2022-06-30
000937,冀中能源,煤炭行业,"1,633,400.00","1,049,080.00","584,320.00",煤炭,2022-06-30
600406,国电南瑞,工程机械行业,"1,628,090.00","1,184,160.00","443,930.00",电工电气装备制造业,2022-06-30
000792,盐湖股份,未细分制造业,"1,599,130.00","256,071.00","1,343,059.00",制造业,2022-06-30
002648,卫星化学,化工行业,"1,583,100.00","1,128,880.00","454,220.00",化学品及新材料行业,2022-06-30
603613,国联股份,化工行业,"1,574,220.00","1,530,040.00","44,180.00",涂料化工行业,2022-06-30
600985,淮北矿业,商贸业,"1,559,790.00",0.00,"1,559,790.00",商品贸易,2022-06-30
600584,长电科技,未分组,"1,551,650.00",0.00,"1,551,650.00",芯片封测,2022-06-30
000050,深天马A,电子行业,"1,549,790.00","1,324,160.00","225,630.00",电子元器件行业,2022-06-30
600096,云天化,化工行业,"1,545,726.00","1,041,307.00","504,419.00",化肥相关 磷化工,2022-06-30
000951,中国重汽,汽车及零件制造业,"1,533,120.00","1,420,050.00","113,070.00",汽车制造业,2022-06-30
600050,中国联通,商贸业,"1,528,990.00","1,456,940.00","72,050.00",销售通信产品,2022-06-30
000333,美的集团,其他,"1,516,490.00","1,296,750.00","219,740.00",其他(补充),2022-06-30
002221,东华能源,商贸业,"1,511,110.00","1,442,610.00","68,500.00",生产、销售,2022-06-30
300014,亿纬锂能,电子行业,"1,492,630.00","1,269,300.00","223,330.00",电子元器件制造业,2022-06-30
601598,中国外运,物流、运输业,"1,490,960.00","1,374,060.00","116,900.00",专业物流,2022-06-30
688819,天能股份,电池行业,"1,485,650.00",0.00,"1,485,650.00",铅酸电池,2022-06-30
000488,晨鸣纸业,未分组,"1,480,922.30","1,218,220.00","262,702.30",机制纸 建筑材料 浆,2022-06-30
000933,神火股份,有色金属行业,"1,465,370.00",0.00,"1,465,370.00",有色金属,2022-06-30
